epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.958,1.29077,3.49911,1.08841,0.99807,1,0.995,0.79712,0.823,3.21576,0.90851,6e-05,6e-05,6e-05
2,123.04,0.8239,2.12155,1.03709,0.99774,0.64,0.63562,0.50969,0.81076,9.96314,0.90607,0.000137228,0.000137228,0.000137228
3,186.607,0.61696,1.42061,0.88311,0.68196,0.66,0.65558,0.5403,0.70369,10.9763,0.87013,0.000211288,0.000211288,0.000211288
4,243.891,0.51442,1.12576,0.92156,0.99868,1,0.995,0.89586,0.48186,1.48245,0.829,0.00028218,0.00028218,0.00028218
5,302.014,0.65823,1.24927,1.02468,0.9984,1,0.995,0.90163,0.4365,3.3851,0.82038,0.000349904,0.000349904,0.000349904
6,359.708,0.50109,0.98045,0.90459,0.85341,1,0.995,0.89994,0.41621,1.95432,0.81078,0.00041446,0.00041446,0.00041446
7,417.629,0.40334,0.76799,0.83548,0.16902,1,0.24387,0.24291,0.26485,11.6947,0.78014,0.000475848,0.000475848,0.000475848
8,481.027,0.66358,0.99437,0.91929,0.59868,1,0.73815,0.71942,0.30495,3.04741,0.78842,0.000534068,0.000534068,0.000534068
9,541.988,0.50132,1.07717,0.88288,0.99789,1,0.995,0.97761,0.33557,1.33042,0.79466,0.00058912,0.00058912,0.00058912
10,600.376,0.7178,0.73636,1.05323,0.76125,1,0.98228,0.94197,0.36678,2.48198,0.80452,0.000641004,0.000641004,0.000641004
11,665.401,0.62274,0.64399,0.93847,0.97331,1,0.995,0.90071,0.39374,1.87989,0.81126,0.00068972,0.00068972,0.00068972
12,724.935,0.46729,0.55559,0.871,0.99692,1,0.995,0.94213,0.35761,0.75051,0.81542,0.000735268,0.000735268,0.000735268
13,785.24,0.52366,0.47888,0.86859,0.99882,1,0.995,0.92241,0.41377,0.69827,0.82371,0.000777648,0.000777648,0.000777648
14,846.753,0.74695,0.57349,0.90798,0.98929,1,0.995,0.91349,0.38266,0.64272,0.80388,0.00081686,0.00081686,0.00081686
15,905.399,0.4921,0.46263,0.89544,0.96417,1,0.995,0.98488,0.3215,0.64469,0.7804,0.000852904,0.000852904,0.000852904
16,965.376,0.39646,0.74452,0.67008,0.70908,1,0.77372,0.70622,0.42148,0.9322,0.80579,0.00088578,0.00088578,0.00088578
17,1027.15,0.51407,0.43636,0.90827,0.29212,1,0.36314,0.32824,0.44967,3.1853,0.82196,0.000915488,0.000915488,0.000915488
18,1089.06,0.40259,0.36553,0.82959,0.99843,1,0.995,0.90362,0.43263,0.4915,0.83286,0.000942028,0.000942028,0.000942028
19,1150.16,0.4704,0.54369,0.88054,0.99871,1,0.995,0.94064,0.34971,0.45594,0.80221,0.0009654,0.0009654,0.0009654
20,1211.45,0.54143,0.42896,0.88623,0.99898,1,0.995,0.94344,0.32153,0.3992,0.78732,0.000985604,0.000985604,0.000985604
21,1272.56,0.45038,0.37688,0.85317,0.99766,1,0.995,0.94896,0.35658,0.46569,0.79845,0.00100264,0.00100264,0.00100264
22,1333.41,0.61922,0.55456,0.95576,0.9971,1,0.995,0.97103,0.38233,0.49943,0.81132,0.00101651,0.00101651,0.00101651
23,1395.4,0.44129,0.36071,0.87065,0.99736,1,0.995,0.93422,0.35944,0.458,0.80479,0.00102721,0.00102721,0.00102721
24,1452.94,0.41301,0.36199,0.85383,0.9977,1,0.995,0.96712,0.2842,0.35092,0.77659,0.00103474,0.00103474,0.00103474
25,1513.26,0.42761,0.3598,0.89945,0.99781,1,0.995,0.97011,0.28532,0.32709,0.77447,0.0010391,0.0010391,0.0010391
26,1573.56,0.3236,0.30114,0.8247,0.99839,1,0.995,0.98444,0.27448,0.27873,0.77632,0.00101,0.00101,0.00101
